Bedrooms,Bathrooms,area,zipcode,price,num
3,4.0,2544,85262,799000,7
5,5.0,4829,85266,519200,11
5,3.0,5462,85266,799000,13
5,5.0,4406,85266,700000,15
4,4.0,3721,85255,500000,16
5,3.0,3710,85331,740000,17
3,4.0,2748,85255,725000,18
3,3.0,2685,85255,799900,23
5,3.0,2520,93446,789000,31
3,2.0,1802,93446,365000,33
3,3.5,2792,85255,799900,38
3,3.0,2146,93446,455000,40
4,1.0,9583,98021,395000,41
5,2.0,7627,98021,638940,42
3,2.0,2153,98021,435000,43
3,2.5,2014,98021,528800,44
4,2.0,1928,81524,350000,45
3,3.0,2134,81524,425000,46
4,3.0,2504,81524,500000,47
3,3.0,2462,81524,589900,48
4,3.0,3904,81418,419000,49
3,2.0,2034,81418,415000,50
3,2.0,1594,81521,214900,51
4,2.0,2957,81524,699900,52
3,3.0,1894,81524,449000,53
4,2.0,2128,81524,249900,54
5,3.0,3267,81524,595999,55
3,3.0,2836,81524,535000,56
4,3.0,2174,81524,439900,57
3,2.0,1508,81524,450000,58
3,2.0,2288,62214,196000,59
3,2.0,1709,62234,104900,60
3,2.5,1776,62034,209900,61
5,3.5,4560,62025,520000,62
4,3.0,2686,62025,249900,63
3,2.0,1201,62088,119000,64
4,2.5,2850,62234,218000,65
4,3.5,3768,62234,254900,66
3,2.5,2750,62234,219500,67
4,3.0,2851,62234,186500,68
4,1.5,1254,62234,94500,69
4,4.5,3740,62249,339900,70
3,2.5,3233,62234,259000,71
3,2.0,2288,62214,196000,72
4,3.0,2256,62214,144900,73
3,2.0,2154,60002,349900,74
4,3.5,2116,60002,229000,75
3,2.0,1600,62214,184900,76
3,2.5,2172,60002,225000,77
4,2.5,3316,60046,289900,78
4,2.0,7841,60016,299000,79
3,2.0,1200,60016,224900,80
4,2.5,2464,91901,599000,81
2,2.0,1845,91901,529800,82
2,1.0,1184,91901,397500,83
4,2.5,3060,91901,699999,84
3,2.5,2733,91901,689000,85
3,2.0,1706,91901,529000,86
4,2.5,2620,91901,619000,89
7,4.0,2929,91901,625000,90
3,2.0,2250,91901,625000,92
2,2.5,1499,91901,539000,94
3,2.0,960,91901,65000,95
3,2.0,2671,91901,521500,96
3,2.5,1675,91901,470000,98
4,2.5,3115,93446,629000,99
4,3.5,3426,91901,679000,100
3,2.0,1288,91901,549000,101
4,4.0,4042,91901,769000,102
2,2.0,1005,91901,245900,103
4,2.5,2726,91901,644900,104
3,2.5,2445,91901,699000,106
3,2.0,1826,93446,529000,107
4,3.0,3277,91901,669000,111
4,3.0,1613,91901,749900,114
3,2.0,1382,92021,429900,115
4,2.0,1771,92021,475000,117
3,2.5,1915,92021,485000,118
3,2.5,1680,92021,389000,119
4,2.0,1696,92021,379000,120
4,2.0,2150,92021,578000,121
3,2.0,1611,92021,575000,122
5,3.0,4200,92021,799000,123
4,2.5,2319,92021,699800,124
2,2.5,915,92677,347000,128
3,3.0,1825,92677,685000,130
3,2.0,1235,92677,469900,132
2,1.0,839,92677,324999,135
1,1.0,800,92677,335000,138
2,2.0,1171,92677,389900,139
2,2.0,1935,92677,738000,140
3,2.5,1819,92677,798800,141
3,2.0,1303,92677,619000,143
3,2.5,2141,92677,750000,145
3,2.5,1655,92677,649900,146
3,2.5,2125,92677,728000,148
3,2.5,1808,96019,219800,152
2,2.0,1056,96019,22000,153
4,2.0,1881,96019,245000,154
3,1.0,1132,96019,170000,155
